Driver,DriverNumber,LapTime,LapNumber,Stint,Compound,TyreLife,Team,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,GrandPrix
VER,1,118.49,37.0,3.0,HARD,1.0,Red Bull Racing,26.6,21.0,1017.0,False,29.6,0,0.4,2023,Bahrain Grand Prix
VER,1,96.297,38.0,3.0,HARD,2.0,Red Bull Racing,26.6,21.0,1017.0,False,29.5,230,0.4,2023,Bahrain Grand Prix
VER,1,96.446,39.0,3.0,HARD,3.0,Red Bull Racing,26.5,21.0,1017.0,False,29.5,0,0.0,2023,Bahrain Grand Prix
GAS,10,109.649,1.0,1.0,SOFT,1.0,Alpine,27.3,22.0,1016.7,False,31.2,226,0.5,2023,Bahrain Grand Prix
GAS,10,100.438,2.0,1.0,SOFT,2.0,Alpine,27.3,22.0,1016.7,False,31.1,208,0.0,2023,Bahrain Grand Prix
GAS,10,100.643,3.0,1.0,SOFT,3.0,Alpine,27.3,22.0,1016.7,False,31.2,170,0.6,2023,Bahrain Grand Prix
GAS,10,100.894,4.0,1.0,SOFT,4.0,Alpine,27.2,22.0,1016.9,False,31.1,236,0.8,2023,Bahrain Grand Prix
GAS,10,100.818,5.0,1.0,SOFT,5.0,Alpine,27.2,22.0,1016.7,False,31.0,206,1.0,2023,Bahrain Grand Prix
GAS,10,101.11,6.0,1.0,SOFT,6.0,Alpine,27.1,22.0,1016.9,False,31.0,175,0.6,2023,Bahrain Grand Prix
GAS,10,101.134,7.0,1.0,SOFT,7.0,Alpine,27.1,21.0,1016.9,False,30.9,197,0.6,2023,Bahrain Grand Prix
GAS,10,101.173,8.0,1.0,SOFT,8.0,Alpine,27.1,21.0,1016.9,False,30.9,173,1.0,2023,Bahrain Grand Prix
GAS,10,104.201,9.0,1.0,SOFT,9.0,Alpine,27.2,21.0,1016.9,False,30.8,193,0.6,2023,Bahrain Grand Prix
GAS,10,121.262,10.0,2.0,HARD,1.0,Alpine,27.1,21.0,1016.9,False,30.8,195,0.8,2023,Bahrain Grand Prix
GAS,10,98.762,11.0,2.0,HARD,2.0,Alpine,27.1,21.0,1016.9,False,30.6,179,0.8,2023,Bahrain Grand Prix
GAS,10,98.928,12.0,2.0,HARD,3.0,Alpine,27.1,21.0,1016.9,False,30.6,178,1.2,2023,Bahrain Grand Prix
GAS,10,99.349,13.0,2.0,HARD,4.0,Alpine,27.1,21.0,1016.9,False,30.5,152,0.8,2023,Bahrain Grand Prix
GAS,10,98.859,14.0,2.0,HARD,5.0,Alpine,27.1,21.0,1016.9,False,30.5,141,0.8,2023,Bahrain Grand Prix
GAS,10,98.985,15.0,2.0,HARD,6.0,Alpine,27.1,21.0,1016.9,False,30.5,187,0.6,2023,Bahrain Grand Prix
GAS,10,98.945,16.0,2.0,HARD,7.0,Alpine,27.0,21.0,1017.0,False,30.4,178,0.8,2023,Bahrain Grand Prix
GAS,10,99.011,17.0,2.0,HARD,8.0,Alpine,27.0,21.0,1017.0,False,30.3,208,0.6,2023,Bahrain Grand Prix
GAS,10,99.029,18.0,2.0,HARD,9.0,Alpine,27.0,21.0,1017.0,False,30.3,197,0.6,2023,Bahrain Grand Prix
GAS,10,99.066,19.0,2.0,HARD,10.0,Alpine,26.9,20.0,1017.0,False,30.3,174,0.6,2023,Bahrain Grand Prix
GAS,10,99.017,20.0,2.0,HARD,11.0,Alpine,26.9,21.0,1017.0,False,30.2,239,0.4,2023,Bahrain Grand Prix
GAS,10,99.327,21.0,2.0,HARD,12.0,Alpine,26.9,21.0,1017.0,False,30.1,182,0.6,2023,Bahrain Grand Prix
GAS,10,99.485,22.0,2.0,HARD,13.0,Alpine,26.8,21.0,1017.0,False,30.0,183,0.4,2023,Bahrain Grand Prix
GAS,10,99.263,23.0,2.0,HARD,14.0,Alpine,26.7,21.0,1017.0,False,29.9,217,0.4,2023,Bahrain Grand Prix
GAS,10,99.761,24.0,2.0,HARD,15.0,Alpine,26.7,21.0,1017.0,False,29.9,199,0.8,2023,Bahrain Grand Prix
GAS,10,102.288,25.0,2.0,HARD,16.0,Alpine,26.7,21.0,1016.9,False,29.9,180,0.6,2023,Bahrain Grand Prix
GAS,10,119.404,26.0,3.0,HARD,1.0,Alpine,26.7,21.0,1017.0,False,29.9,186,0.6,2023,Bahrain Grand Prix
GAS,10,98.729,27.0,3.0,HARD,2.0,Alpine,26.8,21.0,1017.0,False,29.9,190,0.5,2023,Bahrain Grand Prix
GAS,10,97.761,28.0,3.0,HARD,3.0,Alpine,26.7,21.0,1017.0,False,29.9,199,0.8,2023,Bahrain Grand Prix
GAS,10,98.012,29.0,3.0,HARD,4.0,Alpine,26.6,21.0,1017.0,False,29.7,193,0.6,2023,Bahrain Grand Prix
GAS,10,97.76,30.0,3.0,HARD,5.0,Alpine,26.7,21.0,1017.0,False,29.8,171,0.6,2023,Bahrain Grand Prix
GAS,10,97.968,31.0,3.0,HARD,6.0,Alpine,26.7,21.0,1017.0,False,29.6,154,0.6,2023,Bahrain Grand Prix
GAS,10,98.012,32.0,3.0,HARD,7.0,Alpine,26.7,21.0,1017.0,False,29.6,246,0.6,2023,Bahrain Grand Prix
GAS,10,97.974,33.0,3.0,HARD,8.0,Alpine,26.7,21.0,1017.0,False,29.6,212,0.6,2023,Bahrain Grand Prix
GAS,10,98.022,34.0,3.0,HARD,9.0,Alpine,26.6,21.0,1017.0,False,29.6,189,0.5,2023,Bahrain Grand Prix
GAS,10,98.088,35.0,3.0,HARD,10.0,Alpine,26.7,21.0,1017.0,False,29.6,192,0.4,2023,Bahrain Grand Prix
GAS,10,98.184,36.0,3.0,HARD,11.0,Alpine,26.6,21.0,1017.0,False,29.6,179,0.5,2023,Bahrain Grand Prix
GAS,10,98.133,37.0,3.0,HARD,12.0,Alpine,26.6,21.0,1017.0,False,29.5,230,0.4,2023,Bahrain Grand Prix
GAS,10,98.108,38.0,3.0,HARD,13.0,Alpine,26.5,21.0,1017.0,False,29.5,0,0.0,2023,Bahrain Grand Prix
GAS,10,98.537,39.0,3.0,HARD,14.0,Alpine,26.5,21.0,1017.0,False,29.5,222,0.6,2023,Bahrain Grand Prix
PER,11,101.063,1.0,1.0,SOFT,4.0,Red Bull Racing,27.3,22.0,1016.7,False,31.2,226,0.5,2023,Bahrain Grand Prix
PER,11,98.862,2.0,1.0,SOFT,5.0,Red Bull Racing,27.3,22.0,1016.7,False,31.1,208,0.0,2023,Bahrain Grand Prix
PER,11,98.83,3.0,1.0,SOFT,6.0,Red Bull Racing,27.3,22.0,1016.7,False,31.2,170,0.6,2023,Bahrain Grand Prix
PER,11,98.758,4.0,1.0,SOFT,7.0,Red Bull Racing,27.3,22.0,1016.7,False,31.2,204,0.4,2023,Bahrain Grand Prix
PER,11,98.404,5.0,1.0,SOFT,8.0,Red Bull Racing,27.2,22.0,1016.7,False,31.0,206,1.0,2023,Bahrain Grand Prix
PER,11,98.718,6.0,1.0,SOFT,9.0,Red Bull Racing,27.1,22.0,1016.9,False,31.0,175,0.6,2023,Bahrain Grand Prix
PER,11,98.804,7.0,1.0,SOFT,10.0,Red Bull Racing,27.1,22.0,1016.9,False,30.9,210,0.6,2023,Bahrain Grand Prix
PER,11,99.172,8.0,1.0,SOFT,11.0,Red Bull Racing,27.1,21.0,1016.9,False,30.9,173,1.0,2023,Bahrain Grand Prix
PER,11,98.914,9.0,1.0,SOFT,12.0,Red Bull Racing,27.2,21.0,1016.9,False,30.8,193,0.6,2023,Bahrain Grand Prix
PER,11,99.085,10.0,1.0,SOFT,13.0,Red Bull Racing,27.1,21.0,1016.9,False,30.8,180,0.8,2023,Bahrain Grand Prix
PER,11,99.249,11.0,1.0,SOFT,14.0,Red Bull Racing,27.2,21.0,1016.9,False,30.6,155,0.6,2023,Bahrain Grand Prix
PER,11,99.197,12.0,1.0,SOFT,15.0,Red Bull Racing,27.1,21.0,1016.9,False,30.6,178,1.2,2023,Bahrain Grand Prix
PER,11,99.336,13.0,1.0,SOFT,16.0,Red Bull Racing,27.1,21.0,1017.0,False,30.5,161,1.0,2023,Bahrain Grand Prix
PER,11,98.739,14.0,1.0,SOFT,17.0,Red Bull Racing,27.1,21.0,1016.9,False,30.5,171,0.8,2023,Bahrain Grand Prix
PER,11,98.608,15.0,1.0,SOFT,18.0,Red Bull Racing,27.1,21.0,1016.9,False,30.5,141,0.8,2023,Bahrain Grand Prix
PER,11,98.77,16.0,1.0,SOFT,19.0,Red Bull Racing,27.0,21.0,1017.0,False,30.5,179,0.6,2023,Bahrain Grand Prix
PER,11,101.36,17.0,1.0,SOFT,20.0,Red Bull Racing,27.0,20.0,1017.0,False,30.3,214,0.6,2023,Bahrain Grand Prix
PER,11,118.797,18.0,2.0,SOFT,3.0,Red Bull Racing,27.0,21.0,1017.0,False,30.3,208,0.6,2023,Bahrain Grand Prix
PER,11,97.659,19.0,2.0,SOFT,4.0,Red Bull Racing,26.9,21.0,1017.0,False,30.3,212,0.4,2023,Bahrain Grand Prix
PER,11,97.448,20.0,2.0,SOFT,5.0,Red Bull Racing,26.9,21.0,1017.0,False,30.2,240,0.6,2023,Bahrain Grand Prix
PER,11,97.24,21.0,2.0,SOFT,6.0,Red Bull Racing,26.9,21.0,1017.0,False,30.1,182,0.6,2023,Bahrain Grand Prix
PER,11,97.169,22.0,2.0,SOFT,7.0,Red Bull Racing,26.8,21.0,1017.0,False,30.1,229,0.5,2023,Bahrain Grand Prix
PER,11,97.304,23.0,2.0,SOFT,8.0,Red Bull Racing,26.7,21.0,1017.0,False,30.0,241,0.5,2023,Bahrain Grand Prix
PER,11,97.352,24.0,2.0,SOFT,9.0,Red Bull Racing,26.7,21.0,1017.0,False,29.9,199,0.8,2023,Bahrain Grand Prix
PER,11,98.418,25.0,2.0,SOFT,10.0,Red Bull Racing,26.7,21.0,1017.0,False,29.9,183,0.6,2023,Bahrain Grand Prix
PER,11,97.454,26.0,2.0,SOFT,11.0,Red Bull Racing,26.7,21.0,1017.0,False,29.9,195,0.5,2023,Bahrain Grand Prix
PER,11,97.387,27.0,2.0,SOFT,12.0,Red Bull Racing,26.7,21.0,1017.0,False,29.9,186,0.6,2023,Bahrain Grand Prix
PER,11,97.211,28.0,2.0,SOFT,13.0,Red Bull Racing,26.8,21.0,1017.0,False,29.9,190,0.5,2023,Bahrain Grand Prix
PER,11,97.733,29.0,2.0,SOFT,14.0,Red Bull Racing,26.7,21.0,1017.0,False,29.9,194,0.6,2023,Bahrain Grand Prix
PER,11,97.4,30.0,2.0,SOFT,15.0,Red Bull Racing,26.6,21.0,1017.0,False,29.7,193,0.6,2023,Bahrain Grand Prix
PER,11,97.919,31.0,2.0,SOFT,16.0,Red Bull Racing,26.7,21.0,1017.0,False,29.7,228,0.6,2023,Bahrain Grand Prix
PER,11,97.722,32.0,2.0,SOFT,17.0,Red Bull Racing,26.7,21.0,1017.0,False,29.6,204,0.6,2023,Bahrain Grand Prix
PER,11,97.869,33.0,2.0,SOFT,18.0,Red Bull Racing,26.7,21.0,1017.0,False,29.6,246,0.6,2023,Bahrain Grand Prix
PER,11,100.686,34.0,2.0,SOFT,19.0,Red Bull Racing,26.7,21.0,1017.0,False,29.6,256,0.5,2023,Bahrain Grand Prix
PER,11,118.785,35.0,3.0,HARD,1.0,Red Bull Racing,26.6,21.0,1017.0,False,29.6,189,0.5,2023,Bahrain Grand Prix
PER,11,96.82,36.0,3.0,HARD,2.0,Red Bull Racing,26.7,21.0,1017.0,False,29.6,192,0.4,2023,Bahrain Grand Prix
PER,11,96.344,37.0,3.0,HARD,3.0,Red Bull Racing,26.6,21.0,1017.0,False,29.6,0,0.4,2023,Bahrain Grand Prix
PER,11,96.431,38.0,3.0,HARD,4.0,Red Bull Racing,26.5,21.0,1017.2,False,29.5,168,0.6,2023,Bahrain Grand Prix
PER,11,96.429,39.0,3.0,HARD,5.0,Red Bull Racing,26.5,21.0,1017.0,False,29.5,0,0.0,2023,Bahrain Grand Prix
ALO,14,103.608,1.0,1.0,SOFT,4.0,Aston Martin,27.3,22.0,1016.7,False,31.2,226,0.5,2023,Bahrain Grand Prix
ALO,14,99.792,2.0,1.0,SOFT,5.0,Aston Martin,27.3,22.0,1016.7,False,31.1,208,0.0,2023,Bahrain Grand Prix
ALO,14,99.1,3.0,1.0,SOFT,6.0,Aston Martin,27.3,22.0,1016.7,False,31.2,170,0.6,2023,Bahrain Grand Prix
ALO,14,99.548,4.0,1.0,SOFT,7.0,Aston Martin,27.3,22.0,1016.7,False,31.2,204,0.4,2023,Bahrain Grand Prix
ALO,14,99.662,5.0,1.0,SOFT,8.0,Aston Martin,27.2,22.0,1016.7,False,31.0,206,1.0,2023,Bahrain Grand Prix
ALO,14,99.674,6.0,1.0,SOFT,9.0,Aston Martin,27.1,22.0,1016.9,False,31.0,175,0.6,2023,Bahrain Grand Prix
ALO,14,99.729,7.0,1.0,SOFT,10.0,Aston Martin,27.1,22.0,1016.9,False,30.9,210,0.6,2023,Bahrain Grand Prix
ALO,14,99.959,8.0,1.0,SOFT,11.0,Aston Martin,27.1,21.0,1016.9,False,30.9,173,1.0,2023,Bahrain Grand Prix
ALO,14,100.275,9.0,1.0,SOFT,12.0,Aston Martin,27.2,21.0,1016.9,False,30.8,193,0.6,2023,Bahrain Grand Prix
ALO,14,100.203,10.0,1.0,SOFT,13.0,Aston Martin,27.1,21.0,1016.9,False,30.8,180,0.8,2023,Bahrain Grand Prix
ALO,14,101.147,11.0,1.0,SOFT,14.0,Aston Martin,27.2,21.0,1016.9,False,30.6,155,0.6,2023,Bahrain Grand Prix
ALO,14,100.934,12.0,1.0,SOFT,15.0,Aston Martin,27.1,21.0,1016.9,False,30.6,178,1.2,2023,Bahrain Grand Prix
ALO,14,100.341,13.0,1.0,SOFT,16.0,Aston Martin,27.1,21.0,1017.0,False,30.5,161,1.0,2023,Bahrain Grand Prix
ALO,14,102.212,14.0,1.0,SOFT,17.0,Aston Martin,27.1,21.0,1016.9,False,30.5,171,0.8,2023,Bahrain Grand Prix
ALO,14,119.692,15.0,2.0,HARD,1.0,Aston Martin,27.1,21.0,1016.9,False,30.5,187,0.6,2023,Bahrain Grand Prix
ALO,14,97.542,16.0,2.0,HARD,2.0,Aston Martin,27.0,21.0,1017.0,False,30.4,178,0.8,2023,Bahrain Grand Prix
ALO,14,98.139,17.0,2.0,HARD,3.0,Aston Martin,27.0,20.0,1017.0,False,30.3,214,0.6,2023,Bahrain Grand Prix
ALO,14,98.124,18.0,2.0,HARD,4.0,Aston Martin,27.0,21.0,1017.0,False,30.3,197,0.6,2023,Bahrain Grand Prix
ALO,14,98.361,19.0,2.0,HARD,5.0,Aston Martin,26.9,20.0,1017.0,False,30.3,174,0.6,2023,Bahrain Grand Prix
ALO,14,98.318,20.0,2.0,HARD,6.0,Aston Martin,26.9,21.0,1017.0,False,30.2,240,0.6,2023,Bahrain Grand Prix
ALO,14,98.407,21.0,2.0,HARD,7.0,Aston Martin,26.9,21.0,1017.0,False,30.1,182,0.6,2023,Bahrain Grand Prix
ALO,14,98.2,22.0,2.0,HARD,8.0,Aston Martin,26.8,21.0,1017.0,False,30.0,183,0.4,2023,Bahrain Grand Prix
ALO,14,97.853,23.0,2.0,HARD,9.0,Aston Martin,26.7,21.0,1017.0,False,30.0,241,0.5,2023,Bahrain Grand Prix
ALO,14,97.878,24.0,2.0,HARD,10.0,Aston Martin,26.7,21.0,1017.0,False,29.9,199,0.8,2023,Bahrain Grand Prix
ALO,14,98.139,25.0,2.0,HARD,11.0,Aston Martin,26.7,21.0,1017.0,False,29.9,183,0.6,2023,Bahrain Grand Prix
ALO,14,98.127,26.0,2.0,HARD,12.0,Aston Martin,26.7,21.0,1017.0,False,29.9,195,0.5,2023,Bahrain Grand Prix
ALO,14,98.612,27.0,2.0,HARD,13.0,Aston Martin,26.8,21.0,1017.0,False,29.9,175,0.6,2023,Bahrain Grand Prix
ALO,14,98.199,28.0,2.0,HARD,14.0,Aston Martin,26.8,21.0,1017.0,False,29.9,190,0.5,2023,Bahrain Grand Prix
ALO,14,98.585,29.0,2.0,HARD,15.0,Aston Martin,26.7,21.0,1017.0,False,29.9,194,0.6,2023,Bahrain Grand Prix
ALO,14,98.282,30.0,2.0,HARD,16.0,Aston Martin,26.7,21.0,1017.0,False,29.8,171,0.6,2023,Bahrain Grand Prix
ALO,14,98.009,31.0,2.0,HARD,17.0,Aston Martin,26.7,21.0,1017.0,False,29.7,228,0.6,2023,Bahrain Grand Prix
ALO,14,97.871,32.0,2.0,HARD,18.0,Aston Martin,26.7,21.0,1017.0,False,29.6,204,0.6,2023,Bahrain Grand Prix
ALO,14,97.769,33.0,2.0,HARD,19.0,Aston Martin,26.7,21.0,1017.0,False,29.6,212,0.6,2023,Bahrain Grand Prix
ALO,14,100.353,34.0,2.0,HARD,20.0,Aston Martin,26.7,21.0,1017.0,False,29.6,256,0.5,2023,Bahrain Grand Prix
ALO,14,117.389,35.0,3.0,HARD,1.0,Aston Martin,26.6,21.0,1017.0,False,29.6,218,0.4,2023,Bahrain Grand Prix
ALO,14,96.156,36.0,3.0,HARD,2.0,Aston Martin,26.6,21.0,1017.0,False,29.6,179,0.5,2023,Bahrain Grand Prix
ALO,14,97.431,37.0,3.0,HARD,3.0,Aston Martin,26.6,21.0,1017.0,False,29.6,0,0.4,2023,Bahrain Grand Prix
ALO,14,97.002,38.0,3.0,HARD,4.0,Aston Martin,26.5,21.0,1017.2,False,29.5,168,0.6,2023,Bahrain Grand Prix
ALO,14,97.243,39.0,3.0,HARD,5.0,Aston Martin,26.5,21.0,1017.0,False,29.5,222,0.6,2023,Bahrain Grand Prix
LEC,16,100.23,1.0,1.0,SOFT,1.0,Ferrari,27.3,22.0,1016.7,False,31.2,226,0.5,2023,Bahrain Grand Prix
LEC,16,98.75,2.0,1.0,SOFT,2.0,Ferrari,27.3,22.0,1016.7,False,31.1,208,0.0,2023,Bahrain Grand Prix
LEC,16,98.658,3.0,1.0,SOFT,3.0,Ferrari,27.3,22.0,1016.7,False,31.2,170,0.6,2023,Bahrain Grand Prix
LEC,16,98.825,4.0,1.0,SOFT,4.0,Ferrari,27.3,22.0,1016.7,False,31.2,204,0.4,2023,Bahrain Grand Prix
LEC,16,98.664,5.0,1.0,SOFT,5.0,Ferrari,27.2,22.0,1016.7,False,31.0,206,1.0,2023,Bahrain Grand Prix
LEC,16,98.572,6.0,1.0,SOFT,6.0,Ferrari,27.1,22.0,1016.9,False,31.0,175,0.6,2023,Bahrain Grand Prix
LEC,16,98.691,7.0,1.0,SOFT,7.0,Ferrari,27.1,22.0,1016.9,False,30.9,210,0.6,2023,Bahrain Grand Prix
LEC,16,98.614,8.0,1.0,SOFT,8.0,Ferrari,27.1,21.0,1016.9,False,30.9,173,1.0,2023,Bahrain Grand Prix
LEC,16,98.828,9.0,1.0,SOFT,9.0,Ferrari,27.2,21.0,1016.9,False,30.8,193,0.6,2023,Bahrain Grand Prix
LEC,16,99.073,10.0,1.0,SOFT,10.0,Ferrari,27.1,21.0,1016.9,False,30.8,180,0.8,2023,Bahrain Grand Prix
LEC,16,99.212,11.0,1.0,SOFT,11.0,Ferrari,27.2,21.0,1016.9,False,30.6,155,0.6,2023,Bahrain Grand Prix
LEC,16,99.489,12.0,1.0,SOFT,12.0,Ferrari,27.1,21.0,1016.9,False,30.6,179,0.8,2023,Bahrain Grand Prix
LEC,16,102.068,13.0,1.0,SOFT,13.0,Ferrari,27.1,21.0,1017.0,False,30.5,161,1.0,2023,Bahrain Grand Prix
LEC,16,118.77,14.0,2.0,HARD,1.0,Ferrari,27.1,21.0,1016.9,False,30.5,171,0.8,2023,Bahrain Grand Prix
